"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 23 11:50:53 UTC 2021","Thu Sep 23 11:51:21 UTC 2021","27403","","test","TestRegister","","","Смена города","Проверка на смену города"
"passed","Thu Sep 23 12:02:06 UTC 2021","Thu Sep 23 12:02:36 UTC 2021","29950","","test","TestRegister","","","Проверка удаления всех товаров","Проверка удаления всех товаров"
"broken","Thu Sep 23 11:48:53 UTC 2021","Thu Sep 23 11:49:13 UTC 2021","20550","","test","TestRegister","","","Добавление в корзину","Проверка на добавление в корзину"
"passed","Thu Sep 23 11:57:10 UTC 2021","Thu Sep 23 11:57:22 UTC 2021","12164","","test","TestRegister","",""," test request_a_call_back","Test test request_a_call_back"
"broken","Thu Sep 23 11:50:29 UTC 2021","Thu Sep 23 11:50:30 UTC 2021","319","","test","TestRegister","","","Add to favoutites","Test add to favourites in personal "
"passed","Thu Sep 23 11:58:45 UTC 2021","Thu Sep 23 11:59:16 UTC 2021","30926","","test","TestRegister","","","Проверка отображения наименования","Проверка отображения наименования"
"failed","Thu Sep 23 11:51:33 UTC 2021","Thu Sep 23 11:51:52 UTC 2021","19566","","test","TestRegister","","","Header shop","Проверка на Header shop"
"broken","Thu Sep 23 12:03:25 UTC 2021","Thu Sep 23 12:03:26 UTC 2021","432","","test","TestRegister","","","Add to favoutites","Test add and delete to  favourites in personal "
"broken","Thu Sep 23 12:01:29 UTC 2021","Thu Sep 23 12:01:56 UTC 2021","27330","","test","TestRegister","","","Проверка удаления всех товаров","Проверка удаления всех товаров"
"passed","Thu Sep 23 12:03:35 UTC 2021","Thu Sep 23 12:04:37 UTC 2021","62057","","test","TestRegister","","","Проверка окрытия карточки товара","Проверка окрытия карточки товара"
"broken","Thu Sep 23 11:50:18 UTC 2021","Thu Sep 23 11:50:19 UTC 2021","388","","test","TestRegister","","","Add to favoutites","Test add to favourites"
"broken","Thu Sep 23 11:55:21 UTC 2021","Thu Sep 23 11:55:47 UTC 2021","25312","","test","TestRegister","",""," test profile Order list","Test test profile Order list"
"passed","Thu Sep 23 11:49:26 UTC 2021","Thu Sep 23 11:50:08 UTC 2021","41957","","test","TestRegister","","","Добавление в корзину ","Переход через нижний слайдер"
